Variable||Units||Description||Members
TIMESTAMP||YYYYMMDD||ISO timestamp - short format||
TA_F_MDS||deg C||Air temperature, gapfilled using MDS method, average from half-hourly data||TA
TA_F_MDS_QC||adimensional||Quality flag for TA_F_MDS, fraction between 0-1, indicating percentage of measured and good quality gapfill data||
TA_F_MDS_NIGHT||deg C||Average nighttime TA_F_MDS from half-hourly data||TA
TA_F_MDS_NIGHT_SD||deg C||Standard deviation for TA_F_MDS_NIGHT from half-hourly data||TA
TA_F_MDS_NIGHT_QC||adimensional||Quality flag for TA_F_MDS_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data||
TA_F_MDS_DAY||deg C||Average Daytime TA_F_MDS from half-hourly data||TA
TA_F_MDS_DAY_SD||deg C||Standard deviation for TA_F_MDS_DAY from half-hourly data||TA
TA_F_MDS_DAY_QC||adimensional||Quality flag for TA_F_MDS_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data||
TA_ERA||deg C||Air temperature, downscaled from ERA, linearly regressed using measured only site data, average from half-hourly data||TA
TA_ERA_NIGHT||deg C||Average nighttime TA_ERA, calculated from half-hourly data||TA
TA_ERA_NIGHT_SD||deg C||Standard deviation for TA_ERA_NIGHT, calculated from half-hourly data||TA
TA_ERA_DAY||deg C||Average daytime TA_ERA, calculated from half-hourly data||TA
TA_ERA_DAY_SD||deg C||Standard deviation for TA_ERA_DAY, calculated from half-hourly data||TA
TA_F||deg C||Air temperature, consolidated from TA_F_MDS and TA_ERA, average from half-hourly data||TA
TA_F_QC||adimensional||Quality flag for TA_F, fraction between 0-1, indicating percentage of measured and good quality gapfill data||
TA_F_NIGHT||deg C||Average nighttime TA_F, calculated from half-hourly data||TA
TA_F_NIGHT_SD||deg C||Standard deviation for TA_F_NIGHT, calculated from half-hourly data||TA
TA_F_NIGHT_QC||adimensional||Quality flag for TA_F_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data||
TA_F_DAY||deg C||Average daytime TA_F, calculated from half-hourly data||TA
TA_F_DAY_SD||deg C||Standard deviation for TA_F_DAY, calculated from half-hourly data||TA
TA_F_DAY_QC||adimensional||Quality flag for TA_F_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data||
SW_IN_POT||W m-2||Shortwave radiation, incoming, potential (top of atmosphere), average from half-hourly data||
SW_IN_F_MDS||W m-2||Shortwave radiation, incoming, gapfilled using MDS (negative values set to zero, e.g., negative values from instrumentation noise). Average from half-hourly data||SW_IN
SW_IN_F_MDS_QC||adimensional||Quality flag for SW_IN_F_MDS. Fraction between 0-1, indicating percentage of measured and good quality gapfill data||
SW_IN_ERA||W m-2||Shortwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data (negative values set to zero). Average from half-hourly data||SW_IN
SW_IN_F||W m-2||Shortwave radiation, incoming consolidated from SW_IN_F_MDS and SW_IN_ERA (negative values set to zero). Average from half-hourly data||SW_IN
SW_IN_F_QC||adimensional||Quality flag for SW_IN_F, fraction between 0-1, indicating percentage of measured and good quality gapfill data||
